Id,SalePrice
1461,43834.49
1462,44020.15
1463,44531.47
1464,44149.98
1465,44295.98
1466,44335.15
1467,44193.47
1468,44165.98
1469,44552.15
1470,44247.81
1471,43994.15
1472,44250.49
1473,44184.32
1474,43934.66
1475,43867.49
1476,44406.15
1477,44213.49
1478,44130.83
1479,44342.98
1480,44247.83
1481,44274.83
1482,44462.98
1483,44345.15
1484,44274.49
1485,44360.15
1486,44355.98
1487,44313.49
1488,44102.66
1489,44190.66
1490,44146.32
1491,44357.49
1492,44072.83
1493,43917.3
1494,44417.98
1495,44262.49
1496,44335.81
1497,44218.49
1498,44241.49
1499,44173.49
1500,44004.49
1501,44147.49
1502,44207.15
1503,44358.15
1504,44429.64
1505,44223.32
1506,43905.64
1507,44588.15
1508,43780.98
1509,42415.66
1510,44024.32
1511,44257.81
1512,43816.32
1513,44131.15
1514,43810.81
1515,42107.81
1516,43263.49
1517,44432.3
1518,44206.15
1519,44323.98
1520,44164.3
1521,44124.64
1522,42725.66
1523,43601.32
1524,43945.49
1525,42508.32
1526,44149.32
1527,43856.49
1528,41887.98
1529,43937.81
1530,43693.32
1531,43345.66
1532,43298.49
1533,43725.15
1534,43019.49
1535,43258.49
1536,43182.49
1537,43636.0
1538,43592.49
1539,43631.66
1540,43916.83
1541,43715.83
1542,43114.32
1543,44010.81
1544,43981.66
1545,43011.49
1546,43182.49
1547,43166.32
1548,43043.66
1549,42810.32
1550,43645.49
1551,43882.15
1552,43255.49
1553,43166.83
1554,43705.49
1555,44181.64
1556,43504.15
1557,43311.32
1558,43521.15
1559,42906.15
1560,43478.15
1561,43900.32
1562,44103.15
1563,44275.64
1564,44367.3
1565,44359.98
1566,43916.98
1567,43485.83
1568,44179.98
1569,43545.49
1570,43928.66
1571,43290.0
1572,44025.49
1573,44522.49
1574,44144.49
1575,43457.66
1576,44105.64
1577,44218.49
1578,43193.49
1579,44616.98
1580,44405.98
1581,44108.98
1582,43994.32
1583,44133.15
1584,44269.49
1585,44322.15
1586,43260.49
1587,43846.32
1588,43830.98
1589,43356.0
1590,43841.66
1591,43606.49
1592,44134.49
1593,43972.15
1594,43927.32
1595,43071.66
1596,43359.15
1597,44084.32
1598,44134.15
1599,44038.81
1600,44361.81
1601,43294.66
1602,43814.49
1603,43209.83
1604,44169.98
1605,44258.32
1606,43921.32
1607,44339.98
1608,44159.98
1609,44243.66
1610,44243.32
1611,44130.83
1612,44306.49
1613,44275.83
1614,43635.32
1615,43659.49
1616,43747.83
1617,43756.66
1618,43963.32
1619,44161.98
1620,44448.98
1621,43143.81
1622,43585.81
1623,43125.81
1624,43860.32
1625,44436.47
1626,44030.83
1627,44491.64
1628,44580.64
1629,44300.32
1630,44074.64
1631,44390.98
1632,44387.98
1633,44466.47
1634,44360.98
1635,44449.47
1636,43908.32
1637,44126.49
1638,43742.98
1639,44007.49
1640,44092.64
1641,44176.98
1642,44370.32
1643,44289.32
1644,44318.15
1645,44076.98
1646,42613.81
1647,44377.98
1648,44289.98
1649,44101.64
1650,43956.64
1651,42739.64
1652,44165.49
